name,hostname,port,type
WA9PIE-2,hrd.wa9pie.net,8000,dx-spider
DXUSA,dxc.dxusa.net,7300,dx-spider
AI9T,dxc.ai9t.com,7300,cc-cluster
K7AR,k7ar.net,7374,ar-cluster
VE7CC,ve7cc.net,23,cc-cluster
W1NR,dx.w1nr.net,7300,dx-spider
W4MYA,dxc.w4mya.us,7373,cc-cluster
AE5E,dxspots.com,7300,cc-cluster
G6NHU-2,dxspider.co.uk,7300,dx-spider
LZ7AA,cluster.lz7aa.com,7300,cc-cluster
EA4URE,ea4ure.com,7300,dx-spider
9A0DXC,9a0dxc.hamradio.hr,8000,dx-spider
EA2CW,cluster.gautxori.com,7300,cc-cluster
EA2CW-2,cluster.gautxori.com,7373,dx-spider
GB7DJK,gb7djk.dxcluster.net,7300,dx-spider
HB9IAC-8,dxc.iapc.ch,8000,dx-spider
7N4TWL,7n4twl.homeip.net,8000,dx-spider
JA2YYF,ja2yyf.dxcluster.jp,23,cc-cluster
JG1VGX,dxc.jg1vgx.net,7300,dx-spider
ZL2ARN-10,zl2arn.ddns.net,7300,cc-cluster
9M2PJU-2,9m2pju.hamradio.my,7300,dx-spider
K2LS,dxc.k2ls.com,7300,dx-spider
K1TTT,k1ttt.net,7373,ar-cluster
WB3FFV-2,dxc.wb3ffv.us,7300,dx-spider
